FIA_Code,CommonName,ScientificName,USDASP
6976,syatak,Elaeocarpus carolinensis,ELCA20
6977,`a`mati`e,Elaeocarpus floridanus,ELFL6
6978,Elaeocarpus graeffei,Elaeocarpus graeffei,ELGR
6979,sapatua,Elaeocarpus grandis,ELGR6
6980,joga,Elaeocarpus joga,ELJO
6981,Elaeocarpus kerstingianus,Elaeocarpus kerstingianus,ELKE
6982,"maratte, opop",Elaeocarpus kusanoi,ELKU
6983,Elaeocarpus,Elaeocarpus spp.,ELAEO
6984,aamatie,Elaeocarpus tonganus,ELTO4
6985,Elaeocarpus,Elaeocarpus ulianus,ELUL
6990,taputoi,Elattostachys falcata,ELFA3
6992,utuutu,Eleocharis dulcis,ELDU3
6994,elaeocarpa,Endiandra elaeocarpa,ENEL
6996,monkeysoap,Enterolobium cyclocarpum,ENCY
6998,loquat,Eriobotrya japonica,ERJA3
6999,loquat,Eriobotrya spp.,ERIOB
7008,bucayo,Erythrina fusca,ERFU2
7012,wili wili,Erythrina sandwicensis,ERSA11
7013,erythrina,Erythrina spp.,ERYTH
7014,gatae palagi,Erythrina subumbrans,ERSU15
7016,tiger's claw,Erythrina variegata,ERVAO
7017,acuminatissimum,Erythrospermum acuminatissimum,ERAC10
7025,southern mahogany,Eucalyptus botryoides,EUBO2
7026,applebox,Eucalyptus bridgesiana,EUBR2
7028,argyle apple,Eucalyptus cinerea,EUCI80
7030,sugargum,Eucalyptus cladocalyx,EUCL
7031,yate,Eucalyptus cornuta,EUCO3
7032,narrowleaf red ironbark,Eucalyptus crebra,EUCR
7033,roundleaf gum,Eucalyptus deanei,EUDE
7034,Indonesian gum,Eucalyptus deglupta,EUDE2
7038,tuart,Eucalyptus gomphocephala,EUGO
7039,mountain graygum,Eucalyptus goniocalyx,EUGO2
7041,white box,Eucalyptus hemiphloia,EUHE12
7044,jarrah,Eucalyptus marginata,EUMA4
7045,Australian tallowwood,Eucalyptus microcorys,EUMI
7046,gray ironbark,Eucalyptus paniculata,EUPA
7047,blackbutt,Eucalyptus pilularis,EUPI
7048,black ironbox,Eucalyptus raveretiana,EURA4
7049,redmahogany,Eucalyptus resinifera,EURE2
7051,Western Australian floodedgum,Eucalyptus rudis,EURU2
7052,black peppermint,Eucalyptus salicifolia,EUSA17
7053,Sydney bluegum,Eucalyptus saligna,EUSA
7054,red ironbark,Eucalyptus sideroxylon,EUSI2
7056,forest redgum,Eucalyptus tereticornis,EUTE
7057,manna gum,Eucalyptus viminalis,EUVI
7059,"edebsachel, chedebsachel",Eugenia aquea,EUAQ
7065,cloves,Eugenia caryophyllus,EUCA16
7078,"macupa, wax apple",Eugenia javanica,EUJA4
7079,nioi,Eugenia koolauensis,EUKO
7082,"makupa, malay apple",Eugenia malaccensis,EUMA5
7086,Eugenia nitida,Eugenia nitida,EUNI2
7087,orenged,Eugenia palauensis,EUPA3
7088,agatelang,Eugenia palumbis,EUPA28
7091,mountain stopper,Eugenia reinwardtiana,EURE7
7096,stopper,Eugenia spp.,EUGEN
7099,luluhut,Eugenia stelechantha,EUST24
7101,rebotel,Eugenia suzukii,EUSU9
7102,atoto,Eugenia thompsonii,EUTH4
7104,Surinam cherry,Eugenia uniflora,EUUN2
7110,Kauai spurge,Euphorbia haeleeleana,EUHA2
7112,Indian spurgetree,Euphorbia neriifolia,EUNE4
7114,poinsettia,Euphorbia pulcherrima,EUPU9
7115,spurge,Euphorbia spp.,EUPHO
7116,Indiantree spurge,Euphorbia tirucalli,EUTI
7117,Longan,Euphoria longana,EULO7
7119,anini,Eurya sandwicensis,EUSA6
7120,eurya,Eurya spp.,EURYA
7123,Euodia hortensis,Euodia hortensis,EUHO5
7124,kertub,Euodia nitida,EUNI8
7125,beror,Euodia palawensis,EUPA29
7126,Euodia ponapensis,Euodia ponapensis,EUPO15
7127,Euodia,Euodia spp.,EUODI
7128,Euodia trichantha,Euodia trichantha,EUTR13
7129,blinding tree,Excoecaria agallocha,EXAG
7131,hulumoa,Exocarpos gaudichaudii,EXGA
7132,exocarpos,Exocarpos spp.,EXOCA
7133,kotop,Exorrhiza ponapensis,EXPO2
7141,pualulu,Fagraea berteroana,FABE
7142,ksid,Fagraea ksid,FAKS
7143,Fagraea,Fagraea spp.,FAGRA
7144,peacocksplume,Falcataria moluccana,FAMO
7145,peacocksplume,Falcataria spp.,FALCA2
7150,weeping fig,Ficus benjamina,FIBE
7151,edible fig,Ficus carica,FICA
7152,Ficus copiosa,Ficus copiosa,FICO2
7155,Indian rubberplant,Ficus elastica,FIEL
7156,mati,Ficus godeffroyi,FIGO
7160,Chinese banyan,Ficus microcarpa,FIMI2
7162,tibig,Ficus nota,FINO3
7163,aoa,Ficus obliqua,FIOB3
7165,aoa,Ficus prolixa,FIPR2
7167,Port Jackson fig,Ficus rubiginosa,FIRU4
7168,"lulk, banyan",Ficus saffordii,FISA
7169,mati vao,Ficus scabra,FISC3
7171,fig,Ficus spp.,FICUS
7175,Chinese banyan,Ficus thonningii,FITH2
7176,mati,Ficus tinctoria,FITI2
7178,mati,Ficus uniauriculata,FIUN
7179,higo,Ficus virens,FIVI3
7180,Finschia chloroxantha,Finschia chloroxantha,FICH
7182,burrdaisytree,Fitchia speciosa,FISP3
7186,filimoto,Flacourtia rukam,FLRU2
7188,Queensland maple,Flindersia brayleyana,FLBR
7191,poumuli,Flueggea flexuosa,FLFL4
7192,mehamehame,Flueggea neowawraea,FLNE
7193,bushweed,Flueggea spp.,FLUEG
7200,California buckthorn,Frangula californica,FRCA12
7206,shamel ash,Fraxinus uhdei,FRUH
7207,Bolivian fuchsia,Fuchsia boliviana,FUBO
7208,shrubby fuchsia,Fuchsia paniculata,FUPA2
7209,fuchsia,Fuchsia spp.,FUCHS
7210,silkrubber,Funtumia elastica,FUEL
7214,mangosteen,Garcinia mangostana,GAMA10
7215,tilol,Garcinia matsudai,GAMA8
7216,none,Garcinia myrtifolia,GAMY
7217,konpuil,Garcinia ponapensis,GAPO4
7219,tilol,Garcinia rumiyo,GARU3
7220,Garcinia quadrilocularis,Garcinia quadrilocularis,GAQU2
7221,Garcinia,Garcinia spp.,GARCI
7224,forest gardenia,Gardenia brighamii,GABR
7225,Oahu gardenia,Gardenia mannii,GAMA6
7226,Remys gardenia,Gardenia remyi,GARE
7227,gardenia,Gardenia spp.,GARDE
7228,Tahitian gardenia,Gardenia taitensis,GATA
7229,manuai vivao,Garuga floribunda,GAFL8
7233,taipoipo,Geniostoma rupestre,GERU3
7241,Gironniera celtidifolia,Gironniera celtidifolia,GICE2
7245,quickstick,Gliricidia sepium,GLSE2
7247,masame,Glochidion cuspidatum,GLCU
7248,Glochidion marianum,Glochidion marianum,GLMA9
7249,masame,Glochidion ramiflorum,GLRA4
7250,Glochidion,Glochidion spp.,GLOCH
7251,belau,Gmelina elliptica,GMEL
7252,blacheos,Gmelina palawensis,GMPA
7253,Gmelina,Gmelina spp.,GMELI
7254,Gnetum gnemon,Gnetum gnemon,GNGN
7257,Glochidion kanehirae,Glochidion kanehirae,GLKA
7260,Goniothalamus carolinensis,Goniothalamus carolinensis,GOCA2
7262,Creole cotton,Gossypium barbadense,GOBA
7264,Gossypium hirsutum,Gossypium hirsutum,GOHIH2
7272,kahiliflower,Grevillea banksii,GRBA
7273,silkoak,Grevillea robusta,GRRO
7274,grevillea,Grevillea spp.,GREVI
7275,fau ui,Grewia crenata,GRCR4
7279,lignum-vitae,Guaiacum officinale,GUOF
